district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"3,23,449","2,81,935","41,514",87.14,87.94,82.07
556,Bagalkot,"1,26,936","99,691","27,245",89.60,90.32,87.06
557,Bijapur,"1,47,983","1,21,875","26,108",88.27,88.45,87.47
558,Bidar,"1,33,030","1,14,304","18,726",88.19,89.04,83.33
559,Raichur,"1,57,155","1,34,749","22,406",88.57,88.88,86.75
560,Koppal,"1,28,970","1,17,683","11,287",87.93,88.32,84.00
561,Gadag,"65,078","47,028","18,050",90.05,90.67,88.45
562,Dharwad,"79,901","46,872","33,029",85.11,85.95,83.93
563,Uttara Kannada,"86,149","72,637","13,512",78.16,78.13,78.33
564,Haveri,"1,16,153","1,00,340","15,813",90.66,91.31,86.76
565,Bellary,"1,32,610","1,03,596","29,014",89.91,91.05,86.08
566,Chitradurga,"1,63,550","1,50,449","13,101",86.48,86.94,81.63
567,Davanagere,"1,48,867","1,12,763","36,104",87.51,88.68,84.07
568,Shimoga,"1,10,320","90,655","19,665",86.32,86.83,84.02
569,Udupi,"47,689","38,143","9,546",88.65,88.90,87.65
570,Chikmagalur,"75,529","65,808","9,721",88.29,88.48,87.03
571,Tumkur,"2,46,104","2,18,602","27,502",89.10,89.71,84.53
572,Bangalore,"3,49,988","42,813","3,07,175",90.07,87.32,90.46
573,Mandya,"1,37,169","1,23,080","14,089",87.64,88.02,84.51
574,Hassan,"1,34,878","1,21,877","13,001",89.21,90.06,81.98
575,Dakshina Kannada,"69,572","46,420","23,152",83.57,83.13,84.49
576,Kodagu,"16,689","14,544","2,145",82.68,82.50,83.95
577,Mysore,"2,01,998","1,52,174","49,824",87.01,87.73,84.88
578,Chamarajanagar,"88,173","81,338","6,835",87.92,89.52,72.54
579,Gulbarga,"2,13,715","1,68,528","45,187",88.02,88.65,85.77
580,Yadgir,"99,448","88,535","10,913",90.03,90.59,85.80
581,Kolar,"1,16,776","99,741","17,035",87.62,87.74,86.90
582,Chikkaballapura,"90,918","77,693","13,225",87.24,88.00,83.02
583,Bangalore Rural,"60,399","50,145","10,254",86.41,86.33,86.79
584,Ramanagara,"62,451","52,530","9,921",86.00,86.33,84.27
