district_code,district_name,col_0,col_1,col_2,col_3
21,Odisha,"4,19,74,218","2,12,12,136","2,07,62,082",3.47
23,Madhya Pradesh,"7,26,26,809","3,76,12,306","3,50,14,503",6.00
29,Karnataka,"6,10,95,297","3,09,66,657","3,01,28,640",5.05
