district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"638,323","558,535","79,788",16.9,17.2,15.0
418,Sheopur,"3,700","2,843",857,12.1,10.5,24.0
419,Morena,"12,074","10,212","1,862",15.7,16.3,13.2
420,Bhind,"9,462","7,912","1,550",14.0,14.8,10.9
421,Gwalior,"10,947","6,315","4,632",15.8,16.1,15.3
422,Datia,"3,424","2,943",481,12.5,12.6,11.9
423,Shivpuri,"10,748","9,650","1,098",16.2,16.7,12.6
424,Tikamgarh,"9,514","8,256","1,258",14.2,14.3,13.9
425,Chhatarpur,"13,090","11,570","1,520",16.8,17.2,14.0
426,Panna,"14,195","13,267",928,20.3,20.6,16.0
427,Sagar,"14,715","13,089","1,626",15.2,16.0,10.8
428,Damoh,"13,053","11,562","1,491",16.2,16.1,16.6
429,Satna,"23,964","21,866","2,098",17.3,17.4,15.8
430,Rewa,"28,812","25,935","2,877",17.1,17.0,18.4
431,Umaria,"17,795","16,478","1,317",23.9,24.0,22.5
432,Neemuch,"3,403","2,891",512,15.5,16.0,13.4
433,Mandsaur,"6,230","5,726",504,13.7,14.2,9.6
434,Ratlam,"11,963","10,516","1,447",13.2,13.1,13.3
435,Ujjain,"13,379","11,034","2,345",16.0,16.6,13.4
436,Shajapur,"10,020","8,994","1,026",14.7,15.0,12.5
437,Dewas,"15,895","14,600","1,295",23.0,24.8,12.9
438,Dhar,"13,234","11,614","1,620",13.8,13.3,18.8
439,Indore,"7,653","2,955","4,698",12.6,12.0,13.0
440,Khargone (West Nimar),"7,666","6,720",946,14.9,14.7,17.2
441,Barwani,"6,901","6,007",894,15.7,14.9,24.2
442,Rajgarh,"15,202","13,937","1,265",15.5,15.5,15.2
443,Vidisha,"12,746","11,038","1,708",17.6,17.1,22.1
444,Bhopal,"12,984","4,750","8,234",15.1,17.7,13.9
445,Sehore,"16,158","14,625","1,533",20.9,21.3,18.2
446,Raisen,"11,031","9,552","1,479",15.9,15.7,17.2
447,Betul,"24,175","22,502","1,673",22.4,22.8,17.9
448,Harda,"5,234","4,647",587,17.7,17.7,17.7
449,Hoshangabad,"8,856","7,711","1,145",15.9,16.7,12.0
450,Katni,"22,710","21,658","1,052",20.2,20.6,14.9
451,Jabalpur,"24,657","15,768","8,889",17.4,17.6,17.2
452,Narsimhapur,"7,574","6,866",708,13.5,13.7,12.2
453,Dindori,"13,015","12,702",313,21.4,21.4,21.1
454,Mandla,"18,548","17,779",769,17.9,17.9,17.2
455,Chhindwara,"21,083","18,831","2,252",17.9,18.4,14.5
456,Seoni,"20,030","19,467",563,16.2,16.3,12.5
457,Balaghat,"22,435","21,272","1,163",14.9,15.1,12.9
458,Guna,"9,910","8,606","1,304",16.7,17.1,14.5
459,Ashoknagar,"4,493","4,016",477,13.9,13.7,15.7
460,Shahdol,"19,906","18,431","1,475",16.3,16.3,16.0
461,Anuppur,"9,915","9,104",811,18.8,19.0,17.3
462,Sidhi,"16,566","16,241",325,18.5,18.6,14.2
463,Singrauli,"8,350","7,302","1,048",13.5,13.2,15.9
464,Jhabua,"13,375","13,054",321,24.6,24.9,17.5
465,Alirajpur,"8,386","8,199",187,22.9,23.1,17.6
466,Khandwa (East Nimar),"6,603","5,732",871,14.2,14.2,14.3
467,Burhanpur,"2,544","1,790",754,11.1,9.7,17.0
